transaction_event_log_id,customer_dob_entry,duration,event_type,global_unique_identifier,verifone_transaction_sn
10161859,060104,30,FINANCIAL,1726116894000-660011418-0001426959,116099
10161860,,28,FINANCIAL,1726116894000-660011418-0001426980,116100
90254497,,210,FINANCIAL,1726116894000-660011418-0001426989,116101
10161861,,7,FINANCIAL,1726116894000-660011418-0001426996,116102
10161862,060104,13,FINANCIAL,1726116894000-660011418-0001427007,116103
90654498,,163,FINANCIAL,1726116894000-660011418-0001427018,116104
10161863,060104,29,FINANCIAL,1726116894000-660011418-0001427019,116105
90754499,,317,FINANCIAL,1726116894000-660011418-0001427028,116106
90354500,,200,FINANCIAL,1726116894000-660011418-0001427031,116107
90254501,,108,FINANCIAL,1726116894000-660011418-0001427039,116108
90154502,,235,FINANCIAL,1726116894000-660011418-0001427054,116109
10161864,060107,5,FINANCIAL,1726116894000-660011418-0001427056,116110
10161865,,4,FINANCIAL,1726116894000-660011418-0001427058,116111
10161866,,4,FINANCIAL,1726116894000-660011418-0001427061,116112
90554503,,58,FINANCIAL,1726116894000-660011418-0001427070,116113
90754504,,141,FINANCIAL,1726116894000-660011418-0001427071,116114
10161867,060104,8,FINANCIAL,1726116894000-660011418-0001427080,116115
10161868,,4,FINANCIAL,1726116894000-660011418-0001427083,116116
10161869,,3,FINANCIAL,1726116894000-660011418-0001427088,116117
90654505,,111,FINANCIAL,1726116894000-660011418-0001427097,116118
10161870,060104,9,FINANCIAL,1726116894000-660011418-0001427099,116119
90454506,,109,FINANCIAL,1726116894000-660011418-0001427102,116120
90554507,,141,FINANCIAL,1726116894000-660011418-0001427105,116121
90754508,,191,FINANCIAL,1726116894000-660011418-0001427113,116122
90654509,,67,FINANCIAL,1726116894000-660011418-0001427115,116123
10161871,,12,FINANCIAL,1726116894000-660011418-0001427116,116124
90754510,,204,FINANCIAL,1726116894000-660011418-0001427138,116125
10161872,,10,FINANCIAL,1726116894000-660011418-0001427145,116126
10161873,,16,FINANCIAL,1726116894000-660011418-0001427167,116127
90554511,,168,FINANCIAL,1726116894000-660011418-0001427176,116128
90754512,,312,FINANCIAL,1726116894000-660011418-0001427184,116129
90254513,,130,FINANCIAL,1726116894000-660011418-0001427199,116130
90554514,,164,FINANCIAL,1726116894000-660011418-0001427221,116131
10161874,,11,FINANCIAL,1726116894000-660011418-0001427222,116132
90454515,,121,FINANCIAL,1726116894000-660011418-0001427231,116133
90254516,,149,FINANCIAL,1726116894000-660011418-0001427247,116134
10161875,060104,10,FINANCIAL,1726116894000-660011418-0001427256,116135
90754517,,169,FINANCIAL,1726116894000-660011418-0001427259,116136
10161877,,22,FINANCIAL,1726116894000-660011418-0001427263,116138
10161878,,15,FINANCIAL,1726116894000-660011418-0001427265,116139
10161879,,12,FINANCIAL,1726116894000-660011418-0001427273,116140
90254518,,59,FINANCIAL,1726116894000-660011418-0001427276,116141
90454519,,204,FINANCIAL,1726116894000-660011418-0001427279,116142
10161880,060104,35,FINANCIAL,1726116894000-660011418-0001427280,116143
90354520,,181,FINANCIAL,1726116894000-660011418-0001427282,116144
90554521,,101,FINANCIAL,1726116894000-660011418-0001427306,116145
90654522,,94,FINANCIAL,1726116894000-660011418-0001427309,116146
90454523,,180,FINANCIAL,1726116894000-660011418-0001427310,116147
90354524,,50,FINANCIAL,1726116894000-660011418-0001427331,116148
10161881,060104,103,FINANCIAL,1726116894000-660011418-0001427345,116149
10161882,060104,57,FINANCIAL,1726116894000-660011418-0001427348,116150
10161885,,9,FINANCIAL,1726116894000-660011418-0001427366,116153
90754525,,204,FINANCIAL,1726116894000-660011418-0001427399,116156
90254526,,63,FINANCIAL,1726116894000-660011418-0001427409,116157
90554527,,145,FINANCIAL,1726116894000-660011418-0001427412,116158
10161888,060104,117,FINANCIAL,1726116894000-660011418-0001427419,116159
10161889,060104,47,FINANCIAL,1726116894000-660011418-0001427437,116160
90754528,,95,FINANCIAL,1726116894000-660011418-0001427442,116162
10161891,,28,FINANCIAL,1726116894000-660011418-0001427443,116163
90654529,,138,FINANCIAL,1726116894000-660011418-0001427446,116164
10161892,,9,FINANCIAL,1726116894000-660011418-0001427447,116165
